Date,Tuition
Mon 07/03/2023,"987,187"
Tue 07/04/2023,0
Wed 07/05/2023,"2,841,514"
Thu 07/06/2023,"3,155,293"
Fri 07/07/2023,"-1,458,225"
Mon 07/10/2023,"1,156,126"
Tue 07/11/2023,"1,210,990"
Wed 07/12/2023,"735,879"
Thu 07/13/2023,"964,014"
Fri 07/14/2023,"691,592"
Mon 07/17/2023,"1,364,428"
Tue 07/18/2023,"2,054,912"
Wed 07/19/2023,"928,983"
Thu 07/20/2023,"977,990"
Fri 07/21/2023,"1,953,972"
Mon 07/24/2023,"2,456,325"
Tue 07/25/2023,"2,243,627"
Wed 07/26/2023,"1,265,330"
Thu 07/27/2023,"1,743,042"
Fri 07/28/2023,"1,643,470"
Mon 07/31/2023,"2,435,899"
Tue 08/01/2023,"3,492,835"
Wed 08/02/2023,"2,983,412"
Thu 08/03/2023,"3,012,808"
Fri 08/04/2023,"2,825,929"
Mon 08/07/2023,"4,617,153"
Tue 08/08/2023,"4,153,833"
Wed 08/09/2023,"3,838,055"
Thu 08/10/2023,"2,830,071"
Fri 08/11/2023,"2,549,862"
Mon 08/14/2023,"5,420,587"
Tue 08/15/2023,"5,643,879"
Wed 08/16/2023,"7,568,856"
Thu 08/17/2023,"1,168,804"
Fri 08/18/2023,"5,317,981"
Mon 08/21/2023,"10,527,491"
Tue 08/22/2023,"8,636,844"
Wed 08/23/2023,"4,510,502"
Thu 08/24/2023,"2,471,451"
Fri 08/25/2023,"4,365,609"
Mon 08/28/2023,"7,972,328"
Tue 08/29/2023,"12,386,851"
Wed 08/30/2023,"4,897,318"
Thu 08/31/2023,"4,298,389"
Fri 09/01/2023,"5,352,736"
Mon 09/04/2023,0
Tue 09/05/2023,"7,416,718"
Wed 09/06/2023,"9,961,409"
Thu 09/07/2023,"6,149,898"
Fri 09/08/2023,"4,775,439"
Mon 09/11/2023,"7,193,139"
Tue 09/12/2023,"10,346,841"
Wed 09/13/2023,"2,857,852"
Thu 09/14/2023,"5,151,631"
Fri 09/15/2023,"2,334,244"
Mon 09/18/2023,"4,947,474"
Tue 09/19/2023,"2,692,775"
Wed 09/20/2023,"1,838,490"
Thu 09/21/2023,"5,154,496"
Fri 09/22/2023,"256,929"
Mon 09/25/2023,"1,500,964"
Tue 09/26/2023,"526,074"
Wed 09/27/2023,"1,812,749"
Thu 09/28/2023,"755,026"
Fri 09/29/2023,"372,880"
Mon 10/02/2023,"1,036,586"
Tue 10/03/2023,"3,047,676"
Wed 10/04/2023,"-926,388"
Thu 10/05/2023,"571,421"
Fri 10/06/2023,"58,144"
Mon 10/09/2023,0
Tue 10/10/2023,"1,530,681"
Wed 10/11/2023,"517,425"
Thu 10/12/2023,"57,725"
Fri 10/13/2023,"2,330,736"
Mon 10/16/2023,"595,209"
Tue 10/17/2023,"248,919"
Wed 10/18/2023,"424,770"
Thu 10/19/2023,"848,996"
Fri 10/20/2023,"6,346,103"
Mon 10/23/2023,"739,237"
Tue 10/24/2023,"488,451"
Wed 10/25/2023,"2,027,469"
Thu 10/26/2023,"456,925"
Fri 10/27/2023,"1,063,616"
Mon 10/30/2023,"960,120"
Tue 10/31/2023,"3,174,249"
Wed 11/01/2023,"2,305,044"
Thu 11/02/2023,"1,022,705"
Fri 11/03/2023,"2,053,050"
Mon 11/06/2023,"1,291,826"
Tue 11/07/2023,"823,336"
Wed 11/08/2023,"1,061,324"
Thu 11/09/2023,"983,567"
Fri 11/10/2023,"768,220"
Mon 11/13/2023,"1,444,889"
Tue 11/14/2023,"982,218"
Wed 11/15/2023,"912,963"
Thu 11/16/2023,"829,322"
Fri 11/17/2023,"909,825"
Mon 11/20/2023,"1,398,720"
Tue 11/21/2023,"7,243,192"
Wed 11/22/2023,"-154,713"
Thu 11/23/2023,0
Fri 11/24/2023,"615,092"
Mon 11/27/2023,"1,727,295"
Tue 11/28/2023,"854,572"
Wed 11/29/2023,"1,102,774"
Thu 11/30/2023,"1,018,580"
Fri 12/01/2023,"46,735"
Mon 12/04/2023,"2,899,804"
Tue 12/05/2023,"1,516,101"
Wed 12/06/2023,"207,986"
Thu 12/07/2023,"1,221,744"
Fri 12/08/2023,"2,382,063"
Mon 12/11/2023,"3,341,077"
Tue 12/12/2023,"-3,046,817"
Wed 12/13/2023,"2,288,527"
Thu 12/14/2023,"1,141,204"
Fri 12/15/2023,"304,624"
Mon 12/18/2023,"2,658,502"
Tue 12/19/2023,"2,551,943"
Wed 12/20/2023,"1,028,916"
Thu 12/21/2023,"7,593,440"
Fri 12/22/2023,"1,452,855"
Mon 12/25/2023,0
Tue 12/26/2023,"1,400,604"
Wed 12/27/2023,"3,427,814"
Thu 12/28/2023,"-75,825"
Fri 12/29/2023,"810,054"
Mon 01/01/2024,0
Tue 01/02/2024,"4,123,590"
Wed 01/03/2024,"2,056,581"
Thu 01/04/2024,"2,166,655"
Fri 01/05/2024,"3,989,329"
Mon 01/08/2024,"3,570,664"
Tue 01/09/2024,"5,021,324"
